Original               Actual (Industry Standard)
----------------------------------------------------
Freq Base              -> Pitch Envelope
Freq Mod rate          -> Vibrato Rate
Freq Mod range         -> Vibrato Depth
Graph of poles/zeros   -> Filter Poles

Amp Base               -> Volume Envelope
Amp Mod rate           -> Tremolo Rate
Amp Mod range          -> Tremolo Depth
Transition Curve       -> Filter Transition

Final Output           -> Final Output (Waveform)
Gap off                -> Gate Silence
Gap on                 -> Gate Duration
Frequency Response     -> Filter Response

Harmonics              -> Additive Partials
Semi                   -> Pitch Offset (Decicents)
Del                    -> Start Delay (ms)
